TILEMAP
18 12 							-- Size of tile map in tiles
64 64 							-- Tile size & block size
images/Map.png 	-- Tilesheet
32 1 							-- Number of tiles in tilesheet

13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,
13,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,0,0,21,0,0,19,0,0,19,0,0,19,19,19,0,0,0,
13,0,0,21,0,0,14,0,0,14,0,13,13,13,13,13,13,13,
13,0,0,21,0,0,0,0,0,0,0,13,13,0,0,0,13,13,
13,0,0,21,0,0,0,0,0,0,0,13,0,0,0,0,0,13,
13,0,0,21,4,4,4,4,4,4,4,13,0,0,21,0,0,13,
13,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,0,0,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
